engine,version,device,precision,optimizer,io_binding,model_name,inputs,batch_size,sequence_length,datetime,test_times,QPS,average_latency_ms,latency_variance,latency_90_percentile,latency_95_percentile,latency_99_percentile
onnxruntime,1.4.0,cpu,fp32,True,False,bert-base-cased,2,1,32,2020-09-03 12:47:49.650710,1,23.59,42.39,0.00,42.39,42.39,42.39
onnxruntime,1.4.0,cpu,fp32,True,True,bert-base-cased,2,1,32,2020-09-03 12:47:49.650710,1,36.46,27.42,0.00,27.42,27.42,27.42
engine,version,device,precision,optimizer,io_binding,model_name,inputs,batch_size,sequence_length,datetime,test_times,QPS,average_latency_ms,latency_variance,latency_90_percentile,latency_95_percentile,latency_99_percentile
onnxruntime,1.4.0,cpu,fp32,True,False,bert-base-cased,1,1,32,2020-09-03 13:03:35.660498,1,22.74,43.98,0.00,43.98,43.98,43.98
onnxruntime,1.4.0,cpu,fp32,True,True,bert-base-cased,1,1,32,2020-09-03 13:03:35.660498,1,36.73,27.22,0.00,27.22,27.22,27.22
engine,version,device,precision,optimizer,io_binding,model_name,inputs,batch_size,sequence_length,datetime,test_times,QPS,average_latency_ms,latency_variance,latency_90_percentile,latency_95_percentile,latency_99_percentile
onnxruntime,1.4.0,cpu,fp32,True,False,roberta-base,1,1,32,2020-09-03 13:04:25.864487,1,22.40,44.64,0.00,44.64,44.64,44.64
onnxruntime,1.4.0,cpu,fp32,True,True,roberta-base,1,1,32,2020-09-03 13:04:25.864487,1,33.98,29.43,0.00,29.43,29.43,29.43
engine,version,device,precision,optimizer,io_binding,model_name,inputs,batch_size,sequence_length,datetime,test_times,QPS,average_latency_ms,latency_variance,latency_90_percentile,latency_95_percentile,latency_99_percentile
onnxruntime,1.4.0,cpu,fp32,True,False,roberta-base,1,1,32,2020-09-03 13:06:34.490008,1,21.58,46.33,0.00,46.33,46.33,46.33
onnxruntime,1.4.0,cpu,fp32,True,True,roberta-base,1,1,32,2020-09-03 13:06:34.490008,1,33.52,29.83,0.00,29.83,29.83,29.83
engine,version,device,precision,optimizer,io_binding,model_name,inputs,batch_size,sequence_length,datetime,test_times,QPS,average_latency_ms,latency_variance,latency_90_percentile,latency_95_percentile,latency_99_percentile
onnxruntime,1.4.0,cpu,fp32,True,False,distilbert-base-uncased,1,1,32,2020-09-03 13:10:22.549873,1,14.77,67.73,0.00,67.73,67.73,67.73
onnxruntime,1.4.0,cpu,fp32,True,True,distilbert-base-uncased,1,1,32,2020-09-03 13:10:22.549873,1,52.21,19.15,0.00,19.15,19.15,19.15
engine,version,device,precision,optimizer,io_binding,model_name,inputs,batch_size,sequence_length,datetime,test_times,QPS,average_latency_ms,latency_variance,latency_90_percentile,latency_95_percentile,latency_99_percentile
onnxruntime,1.4.0,cpu,fp32,True,False,bert-base-cased,1,1,32,2020-09-03 13:11:09.239674,1,21.53,46.45,0.00,46.45,46.45,46.45
onnxruntime,1.4.0,cpu,fp32,True,True,bert-base-cased,1,1,32,2020-09-03 13:11:09.239674,1,34.23,29.21,0.00,29.21,29.21,29.21
engine,version,device,precision,optimizer,io_binding,model_name,inputs,batch_size,sequence_length,datetime,test_times,QPS,average_latency_ms,latency_variance,latency_90_percentile,latency_95_percentile,latency_99_percentile
onnxruntime,1.4.0,cpu,fp32,True,False,roberta-base,1,1,32,2020-09-03 13:11:35.543024,1,21.17,47.24,0.00,47.24,47.24,47.24
onnxruntime,1.4.0,cpu,fp32,True,True,roberta-base,1,1,32,2020-09-03 13:11:35.543024,1,32.66,30.62,0.00,30.62,30.62,30.62
